,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
458,Ust-Barguzin,RU,53.45,108.9833,54.84,86,9,7.4,clear sky
459,Duiwelskloof,ZA,-23.6934,30.14,67.82,24,0,6.51,clear sky
460,Anadyr,RU,64.75,177.4833,43.3,86,75,13.0,light rain
461,Vestmannaeyjar,IS,63.4427,-20.2734,54.59,94,90,21.85,overcast clouds
462,Payyannur,IN,12.1,75.2,77.56,87,17,4.23,few clouds
463,Esperance,AU,-33.8667,121.9,53.44,93,100,20.65,light rain
464,Miyako,JP,39.6367,141.9525,71.92,92,4,4.85,clear sky
465,Qui Nhon,VN,13.7667,109.2333,84.0,68,71,13.31,broken clouds
466,Boa Vista,BR,2.8197,-60.6733,84.18,61,75,8.05,broken clouds
467,Upernavik,GL,72.7868,-56.1549,40.19,90,100,21.97,light rain
468,Ponta Delgada,PT,37.7333,-25.6667,72.32,83,75,18.41,broken clouds
469,Miri,MY,4.4148,114.0089,78.94,94,20,0.0,few clouds
470,Troianul,RO,44.0,25.0,89.82,41,44,9.33,scattered clouds
471,Vila Velha,BR,-20.3297,-40.2925,69.75,52,0,17.27,clear sky
472,Abong Mbang,CM,3.9833,13.1833,83.55,52,87,2.13,overcast clouds
473,Lyantonde,UG,-0.4031,31.1572,78.53,34,95,14.12,overcast clouds
474,Alice Springs,AU,-23.7,133.8833,51.35,46,7,0.0,clear sky
475,Minab,IR,27.1467,57.0801,92.7,48,46,4.25,scattered clouds
476,Fernie,CA,49.5,-115.0687,68.97,42,21,4.92,few clouds
477,Mujiayingzi,CN,42.1167,118.7833,72.07,83,56,5.99,broken clouds
478,Tautira,PF,-17.7333,-149.15,73.42,81,38,23.42,light rain
479,Kemijarvi,FI,66.7131,27.4306,53.91,60,94,7.65,moderate rain
480,Mweka,CD,-4.85,21.5667,95.63,16,10,1.83,clear sky
481,Isla Aguada,MX,18.7833,-91.4667,80.64,74,51,11.25,broken clouds
482,Nome,US,64.5011,-165.4064,57.27,94,90,18.41,light rain
483,Bazarnyy Karabulak,RU,52.2683,46.4144,87.49,46,53,9.01,broken clouds
484,Hasaki,JP,35.7333,140.8333,75.6,83,24,6.91,few clouds
485,Roald,NO,62.5833,6.1333,60.85,62,20,5.75,few clouds
486,Nkayi,CG,-4.1841,13.2884,94.73,27,41,5.19,scattered clouds
487,Muros,ES,42.7762,-9.0603,82.99,81,90,11.7,overcast clouds
488,Road Town,VG,18.4167,-64.6167,86.2,74,40,14.97,scattered clouds
489,Balancan,MX,17.8,-91.5333,75.97,76,78,9.31,broken clouds
490,Verkh-Usugli,RU,52.7,115.1667,58.1,88,12,3.27,few clouds
491,Peniche,PT,39.3558,-9.3811,78.75,74,54,14.43,broken clouds
492,Ihosy,MG,-22.4,46.1167,63.79,82,10,10.6,clear sky
493,Port Keats,AU,-14.25,129.55,70.45,26,98,7.49,overcast clouds
494,Mataram,ID,-8.5833,116.1167,76.01,84,54,6.15,broken clouds
495,Ambanja,MG,-13.6833,48.45,78.73,80,3,4.05,clear sky
496,Oyama,JP,36.3,139.8,85.59,65,38,3.98,scattered clouds
497,Sawtell,AU,-30.3833,153.1,50.32,76,40,8.05,scattered clouds
498,Thunder Bay,CA,48.4001,-89.3168,64.29,72,90,5.75,overcast clouds
499,Auch,FR,43.65,0.5833,94.21,72,26,1.99,scattered clouds
500,Mabay,PH,6.0577,124.4666,79.02,76,93,4.94,overcast clouds
501,Howard Springs,AU,-12.497,131.047,75.11,85,6,4.56,clear sky
502,Moree,AU,-29.4667,149.85,48.22,76,90,19.57,overcast clouds
503,Carballo,ES,43.213,-8.691,71.02,57,60,6.51,broken clouds
504,Hoa Binh,VN,20.8133,105.3383,78.69,87,97,3.33,light rain
505,Nurota,UZ,40.5614,65.6886,93.29,14,56,12.37,broken clouds
506,Adre,TD,13.4667,22.2,83.34,47,84,8.37,broken clouds
507,Esna,EG,25.2934,32.554,109.42,10,44,14.92,scattered clouds
508,Deblin,PL,51.5591,21.8483,76.19,39,100,8.16,overcast clouds
509,Ahipara,NZ,-35.1667,173.1667,52.92,88,60,9.26,light rain
510,Chipinge,ZW,-20.1883,32.6236,64.33,40,3,1.34,clear sky
511,Aden,YE,12.7794,45.0367,86.11,69,72,13.71,broken clouds
512,Asau,RO,46.4333,26.4,73.96,81,100,3.49,overcast clouds
513,Klyuchi,RU,52.2667,79.1667,68.83,56,100,7.4,overcast clouds
514,Weligama,LK,5.9667,80.4167,79.93,84,66,10.54,broken clouds
515,Jumla,NP,29.2747,82.1838,62.92,96,97,0.92,overcast clouds
516,Lakatoro,VU,-16.0999,167.4164,77.56,84,23,7.63,few clouds
517,Lasa,IT,46.6166,10.7002,84.11,33,4,3.36,clear sky
518,Seguela,CI,7.9611,-6.6731,84.02,57,84,7.11,broken clouds
519,Pitimbu,BR,-7.4706,-34.8086,82.99,63,100,13.15,overcast clouds
520,Rovaniemi,FI,66.5,25.7167,51.21,71,40,9.22,scattered clouds
521,Coahuayana,MX,18.7333,-103.6833,81.88,62,35,2.46,scattered clouds
522,Jiayuguan,CN,39.8167,98.3,71.83,40,100,18.43,overcast clouds
523,Uspenka,UA,48.3903,39.1619,93.25,35,10,10.11,clear sky
524,Tortoli,IT,39.9256,9.6572,92.98,44,6,4.09,clear sky
525,Joshimath,IN,30.5667,79.5667,70.36,95,100,0.38,overcast clouds
526,Maltahohe,NA,-24.8333,16.9833,67.68,24,100,18.86,overcast clouds
527,Arinos,BR,-15.9169,-46.1056,85.5,14,3,6.35,clear sky
528,Kedrovyy,RU,56.1667,91.8167,59.41,79,83,2.86,broken clouds
529,Huanren,CN,41.2647,125.3667,70.34,97,52,1.97,broken clouds
530,Nanakuli,US,21.3906,-158.1547,76.98,65,1,4.61,clear sky
531,Necochea,AR,-38.5473,-58.7368,57.04,41,100,16.87,overcast clouds
532,Nara,JP,34.6851,135.8049,83.91,94,7,2.33,clear sky
533,Aitape,PG,-3.1374,142.3475,76.3,92,100,3.85,overcast clouds
534,Alta Floresta,BR,-9.8756,-56.0861,82.22,36,0,9.22,clear sky
535,Makungu,TZ,-8.7333,35.2833,69.04,44,1,6.91,clear sky
536,Liverpool,GB,53.4106,-2.9779,85.95,62,0,5.99,clear sky
537,Antofagasta,CL,-23.65,-70.4,65.21,63,29,4.72,scattered clouds
538,Khaniotis,GR,39.9991,23.58,89.78,54,0,7.92,clear sky
539,Baruun-Urt,MN,46.6806,113.2792,74.53,59,73,11.86,broken clouds
540,Formosa,AR,-26.1775,-58.1781,51.78,66,0,6.91,light rain
541,Phalodi,IN,27.1333,72.3667,89.91,62,100,17.65,overcast clouds
542,Starobaltachevo,RU,56.0013,55.9213,81.59,59,68,4.0,moderate rain
543,Aykhal,RU,66.0,111.5,63.16,59,100,4.81,overcast clouds
544,Mattru,SL,7.6244,-11.8332,78.67,88,89,6.2,light rain
545,Alofi,NU,-19.0595,-169.9187,71.49,94,8,8.05,light rain
546,Abadan,IR,30.3392,48.3043,118.35,32,0,11.5,clear sky
547,Antalaha,MG,-14.9003,50.2788,71.15,89,47,11.27,light rain
548,Atar,MR,20.5169,-13.0499,111.42,5,4,11.36,clear sky
549,Kaeo,NZ,-35.1,173.7833,48.33,95,68,8.66,broken clouds
550,Ola,RU,59.5833,151.2833,51.03,93,97,1.99,overcast clouds
551,Damietta,EG,31.4165,31.8133,87.69,60,0,14.0,clear sky
552,Okhotsk,RU,59.3833,143.3,55.8,87,88,8.37,overcast clouds
553,Poputnaya,RU,44.5125,41.4392,92.17,44,0,2.89,clear sky
554,Ostersund,SE,63.1792,14.6357,55.85,54,40,21.85,scattered clouds
555,Lucapa,AO,-8.4192,20.7447,87.37,14,88,3.27,overcast clouds
556,Simplicio Mendes,BR,-7.8539,-41.9103,91.71,34,42,8.19,scattered clouds
557,Khorinsk,RU,52.1657,109.7726,63.79,58,57,2.19,broken clouds
558,Moerai,PF,-22.4333,-151.3333,74.86,73,51,20.65,broken clouds
559,Nkhata Bay,MW,-11.6066,34.2907,73.51,54,6,3.56,clear sky
560,Picton,AU,-34.1833,150.6,51.03,87,99,8.66,overcast clouds
561,Darhan,MN,49.4867,105.9228,66.24,72,100,3.69,moderate rain
562,Wamba,NG,8.9333,8.6,81.68,73,93,4.76,moderate rain
563,Yuryevets,RU,57.3201,43.1041,71.89,61,90,7.31,overcast clouds
564,Gold Coast,AU,-28.0,153.4333,55.99,60,98,3.0,overcast clouds
565,Polunochnoye,RU,60.8697,60.4153,65.84,92,98,2.57,overcast clouds
566,Padang,ID,-0.9492,100.3543,77.05,81,100,3.2,overcast clouds
567,Saint-Augustin,CA,51.226,-58.6502,65.71,75,96,7.78,overcast clouds
568,Marica,BR,-22.9194,-42.8186,73.29,49,19,8.75,few clouds
569,Floriano,BR,-6.7669,-43.0225,95.76,28,32,5.91,scattered clouds
570,Smithers,CA,54.7804,-127.1743,50.32,100,40,3.44,mist
571,Esso,RU,55.9333,158.7,53.26,95,25,4.47,scattered clouds
572,Chongqing,CN,29.5628,106.5528,84.52,88,0,3.0,light rain
573,Awjilah,LY,29.1081,21.2869,96.31,23,0,15.28,clear sky
574,Ayagoz,KZ,47.9714,80.4392,77.16,38,92,21.3,overcast clouds
575,Mae Sai,TH,20.4335,99.8762,76.32,100,100,0.38,overcast clouds
576,Fort-Shevchenko,KZ,44.5086,50.263,86.58,56,0,8.61,clear sky
577,Gigmoto,PH,13.7796,124.39,81.21,86,100,8.68,overcast clouds
578,Lishui,CN,28.4604,119.9103,76.17,95,5,2.75,clear sky
579,Marsa Matruh,EG,31.3525,27.2453,86.2,62,0,16.11,clear sky
580,Homer,US,59.6425,-151.5483,58.89,79,1,4.61,clear sky
581,Souillac,MU,-20.5167,57.5167,70.18,83,75,20.71,light intensity shower rain
582,Gamba,GA,-2.65,10.0,77.32,70,49,10.94,scattered clouds
583,Anloga,GH,5.7947,0.8973,86.22,74,49,15.28,scattered clouds
584,Michigan City,US,41.7075,-86.895,80.02,74,1,4.61,clear sky
585,Monrovia,LR,6.3005,-10.7969,80.37,73,74,14.36,light rain
586,Ballina,AU,-28.8667,153.5667,53.78,62,17,8.05,few clouds
587,Petatlan,MX,17.5167,-101.2667,80.4,64,100,0.65,overcast clouds
588,Grand Gaube,MU,-20.0064,57.6608,70.2,81,71,8.01,light rain
589,Vostok,RU,46.4856,135.8833,69.33,84,10,3.67,light rain
590,Umarga,IN,17.8333,76.6167,75.51,83,100,16.08,light rain
591,Gwadar,PK,25.1216,62.3254,84.92,87,74,13.56,broken clouds
592,Darnah,LY,32.767,22.6367,80.83,65,0,11.9,clear sky
593,Omboue,GA,-1.5746,9.2618,77.68,70,33,13.29,scattered clouds
594,Jiexiu,CN,37.0244,111.9125,69.33,74,23,5.1,few clouds
595,Yekaterinoslavka,RU,50.3734,129.1139,70.9,94,60,6.62,broken clouds
596,Abu Samrah,SY,35.3029,37.1841,97.99,18,0,18.21,clear sky
597,Dhidhdhoo,MV,6.8833,73.1,82.69,76,87,13.78,overcast clouds
598,La Rioja,ES,42.25,-2.5,89.49,33,53,3.89,broken clouds
599,Nouadhibou,MR,20.931,-17.0347,71.15,91,6,10.0,clear sky
600,Paracuru,BR,-3.41,-39.0306,84.22,70,54,14.5,broken clouds
601,Alice,US,27.7523,-98.0697,84.31,83,75,10.36,broken clouds
602,Tadine,NC,-21.55,167.8833,71.1,88,0,5.37,clear sky
603,Kattivakkam,IN,13.2167,80.3167,89.69,58,100,8.19,light rain
604,Ajdabiya,LY,30.7554,20.2263,83.55,55,0,17.0,clear sky
605,Hermosillo,MX,29.0667,-110.9667,89.29,64,14,1.01,few clouds
606,Torrington,US,41.8007,-73.1212,79.12,83,0,1.99,clear sky
607,Krasnoselkup,RU,65.7,82.4667,59.58,58,20,5.84,few clouds
608,Birao,CF,10.2849,22.7882,83.3,64,94,5.19,light rain
609,Montego Bay,JM,18.4712,-77.9188,84.78,67,2,11.99,clear sky
610,Gilgit,PK,35.9221,74.3087,84.6,49,36,4.27,scattered clouds
611,Hoquiam,US,46.9809,-123.8893,60.78,57,90,6.91,overcast clouds
612,Bud,US,39.447,-86.1758,78.93,73,0,5.37,clear sky
613,Great Yarmouth,GB,52.6083,1.7305,81.95,71,5,13.15,clear sky
614,Dourdan,FR,48.5277,2.0111,85.32,45,0,10.58,clear sky
615,Palmer,US,42.1584,-72.3287,78.76,78,1,5.23,clear sky
616,Kigorobya,UG,1.6162,31.3089,76.19,54,20,2.98,few clouds
617,Naze,JP,28.3667,129.4833,76.73,90,100,32.66,overcast clouds
618,Brownwood,US,31.7093,-98.9912,79.92,62,0,12.1,clear sky
619,Assiniboia,CA,49.6334,-105.9845,67.91,88,100,9.22,overcast clouds
620,Ryotsu,JP,38.0833,138.4333,77.41,85,35,7.23,scattered clouds
621,Yelizovo,RU,53.1873,158.3805,57.34,100,75,2.24,broken clouds
622,Shimoda,JP,34.6667,138.95,76.1,84,3,1.97,clear sky
623,Mabaruma,GY,8.2,-59.7833,78.6,94,100,6.31,overcast clouds
624,Akyab,MM,20.15,92.9,80.29,87,94,7.14,overcast clouds
625,Storforshei,NO,66.4043,14.5233,51.58,69,75,17.27,broken clouds
626,Boguchany,RU,58.3814,97.4531,57.69,88,26,1.66,light rain
627,Vilhena,BR,-12.7406,-60.1458,73.62,35,0,16.11,clear sky
628,Xai-Xai,MZ,-25.0519,33.6442,69.67,70,20,7.07,few clouds
629,Beniganj,IN,27.2833,80.45,81.27,85,89,2.98,moderate rain
630,Erzin,TR,36.9559,36.2,93.72,57,0,8.75,clear sky
631,Ostroleka,PL,53.0862,21.5757,72.09,65,100,5.88,overcast clouds
632,Amapa,BR,1.0,-52.0,88.7,52,19,3.91,few clouds
633,Kodinar,IN,20.7903,70.7031,82.56,83,100,22.17,overcast clouds
634,Kargasok,RU,59.0556,80.8572,62.46,84,8,4.68,light rain
635,Avera,US,33.194,-82.5271,77.45,81,100,4.54,overcast clouds
636,San Jose De Guanipa,VE,8.8872,-64.1651,81.93,68,98,12.57,overcast clouds
637,Kozhva,RU,65.1073,57.0459,67.08,40,28,2.28,scattered clouds
638,Mayo,US,38.8876,-76.5119,86.23,68,1,1.01,haze
639,Athabasca,CA,54.7169,-113.2854,59.41,57,53,7.29,broken clouds
640,Deshnok,IN,27.7986,73.3447,91.15,57,100,14.38,overcast clouds
641,Bilibino,RU,68.0546,166.4372,49.95,57,100,3.04,overcast clouds
642,Siocon,PH,7.7061,122.1353,79.47,86,100,4.34,light rain
643,Varhaug,NO,58.6147,5.6457,62.78,77,66,21.43,broken clouds
644,Rusape,ZW,-18.5278,32.1284,65.93,34,1,6.69,clear sky
645,Altamont,US,42.2068,-121.7372,66.78,71,90,3.44,overcast clouds
646,Salvador,SV,13.8333,-88.9167,79.2,69,38,3.71,scattered clouds
647,Griffith,US,41.5284,-87.4237,81.03,66,1,1.01,clear sky
648,Kisanga,TZ,-7.4362,37.7034,83.28,42,14,2.42,few clouds
649,Udachnyy,RU,66.4167,112.4,66.07,54,100,4.97,overcast clouds
650,Gornopravdinsk,RU,60.05,69.9,69.6,64,99,3.8,overcast clouds
651,Ca Mau,VN,9.1769,105.15,79.23,88,31,4.27,scattered clouds
652,Jaisalmer,IN,26.9147,70.9181,90.03,61,18,19.44,few clouds
653,Kizukuri,JP,40.8061,140.3861,74.95,88,7,2.1,clear sky
654,De-Kastri,RU,51.4667,140.7833,60.66,84,100,3.06,overcast clouds
655,Charlottetown,CA,46.2352,-63.1267,71.89,74,90,10.0,overcast clouds
656,Oistins,BB,13.0667,-59.5333,86.09,74,40,21.85,scattered clouds
657,Egvekinot,RU,66.3167,-179.1667,34.61,94,100,10.89,overcast clouds
658,La Grande,US,45.3246,-118.0877,70.0,43,97,3.71,overcast clouds
659,Magadan,RU,59.5667,150.8,52.36,89,97,3.36,overcast clouds
660,Mandan,US,46.8267,-100.8896,77.04,74,1,9.22,clear sky
661,Celestun,MX,20.8667,-90.4,83.82,64,0,7.11,clear sky
662,Siilinjarvi,FI,63.0833,27.6667,62.62,59,85,13.8,overcast clouds
663,Freetown,SL,8.484,-13.2299,79.93,82,97,10.02,moderate rain
664,Meulaboh,ID,4.1363,96.1285,78.71,84,95,2.01,light rain
665,Paamiut,GL,61.994,-49.6678,42.84,87,100,12.33,overcast clouds
666,Hargeysa,SO,9.56,44.065,74.43,50,59,24.18,broken clouds
667,Palauig,PH,15.435,119.9045,79.47,88,100,6.11,overcast clouds
668,Langsa,ID,4.4683,97.9683,75.97,96,58,2.64,broken clouds
669,Taketoyo,JP,34.85,136.9167,83.14,83,40,8.05,scattered clouds
670,Bac Lieu,VN,9.285,105.7244,80.67,84,46,8.99,scattered clouds
671,Kyra,RU,49.5776,111.9753,67.6,93,100,4.09,overcast clouds
672,Biankouma,CI,7.7391,-7.6138,83.25,57,95,3.29,overcast clouds
673,Cockburn Town,TC,21.4612,-71.1419,85.96,70,40,13.8,scattered clouds
674,Gorlice,PL,49.6556,21.1604,66.96,69,99,8.39,overcast clouds
675,Hambantota,LK,6.1241,81.1185,82.74,78,20,9.22,few clouds
676,Jhang,PK,33.6748,72.6963,82.62,64,59,9.4,broken clouds
677,George Town,MY,5.4112,100.3354,84.88,75,20,0.0,few clouds
678,Nishihara,JP,26.1842,127.7558,82.06,83,90,34.52,mist
679,Livingstone,ZM,-17.8419,25.8543,74.28,20,0,4.45,clear sky
680,Basoko,CD,1.2391,23.616,81.16,58,98,3.15,overcast clouds
681,Portland,US,45.5234,-122.6762,64.63,82,90,1.01,overcast clouds
682,Miles City,US,46.4083,-105.8406,83.37,42,1,13.8,clear sky
683,Williston,US,48.147,-103.618,77.04,66,100,1.01,overcast clouds
684,Wanning,CN,18.8003,110.3967,82.89,84,100,2.64,overcast clouds
685,Paragominas,BR,-2.9667,-47.4833,90.66,48,4,3.36,clear sky
686,Pangkalanbuun,ID,-2.6833,111.6167,74.93,98,90,1.95,heavy intensity rain
687,Khorixas,NA,-20.3667,14.9667,78.96,16,0,9.48,clear sky
688,Daru,PG,-9.0763,143.2092,76.68,84,100,13.53,overcast clouds
689,Tromso,NO,69.6496,18.957,47.05,76,75,4.0,broken clouds
690,Luwingu,ZM,-10.2621,29.9271,77.99,24,6,4.61,clear sky
691,Lompoc,US,34.6391,-120.4579,69.93,90,90,0.0,mist
